step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,semantic_similarity,rag_rouge1,rag_rougeL,rag_bleu,rag_meteor,rag_chrf,rag_fuzzy,rag_len_ratio,rag_bertscore_f1,rag_semantic_similarity,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,0.0,0.0,0.0014742193173565721,0.0014742193173565721,0.0001622169424484474,0.03153062140804598,0.001489582734337912,0.005957364026889224,0.033254131692841866,0.21097147683305664,0.7516406178474426,0.07161712752379201,0.02263484518386479,0.02263484518386479,0.039073278980923776,0.09053113191010528,0.196582106099321,0.33951474157013806,1.2642417991219417,0.8388840556144714,0.3916115434373646,0.0,0.0,0.0,36.705604553222656,3.3151,138.457,17.496
516,1.0,0.0,0.0019504097935470486,0.0019504097935470486,0.0012972580024190102,0.059211117097701146,0.006133923302328804,0.026773954946913453,0.0990052227743063,0.3843555271154491,0.7729125618934631,0.1203079919596578,0.014576200850710654,0.01348687623197427,0.042201461839236246,0.09619962798789837,0.2030496681147914,0.3423914981040171,1.2606839330526198,0.8392786979675293,0.38881022667244464,27.6797,348.0595703125,3.990445373136761e-05,14.349958419799805,3.33,137.84,17.418
1032,2.0,0.0,0.0,0.0,0.0013327708810382858,0.43020384339080464,0.009727847829105655,0.01603141276387598,0.14436510139024375,1.2176969246565181,0.7466188669204712,0.12319852608440683,0.01234567901234568,0.01234567901234568,0.039556590823618495,0.08739763134412491,0.19249216571449274,0.33798034601398647,1.2391839375866722,0.8386808633804321,0.3897602641569503,10.1855,89.20684814453125,3.933819362470408e-05,4.346530437469482,3.3232,138.118,17.453
1548,3.0,0.0,0.0,0.0,0.0015928060117149777,0.45123922413793105,0.012693619456638775,0.01331086049133751,0.15027487053249214,1.246385455454069,0.7383997440338135,0.10956498279635975,0.0075599738806197865,0.0075599738806197865,0.03264090216473051,0.08091981106393714,0.18258934438169955,0.32314317891369765,1.1703244589699096,0.8350439667701721,0.37368214608034145,5.1414,17.710054397583008,3.827679672145628e-05,3.569082498550415,3.3176,138.353,17.483
2064,4.0,0.0,0.0,0.0,0.0037818829413322646,0.47145519037356326,0.02809234287901477,0.09798215593466438,0.22006293638079663,0.3861249607734145,0.8035193681716919,0.3039161905942562,0.004865649963689179,0.004865649963689179,0.04230366563945024,0.09350525234319514,0.19508940069207803,0.3380911432820532,1.1250794863544564,0.8380330801010132,0.38918283924638963,4.2798,39.39458084106445,3.674743912052866e-05,3.240311622619629,3.3254,138.03,17.442
2580,5.0,0.0,0.0,0.0,0.00401130217488936,0.490862966954023,0.028265071006420072,0.11106115310669058,0.2516030358028805,2.063955496419631,0.7639827728271484,0.2726412626255247,0.008109416606148633,0.008109416606148633,0.03983299672833254,0.09591637267371943,0.19842297331086964,0.33897191476171395,1.3764526922109568,0.8382886052131653,0.3799035320208613,3.9709,28.98236846923828,3.4789278627352834e-05,2.9680211544036865,3.3249,138.047,17.444
3096,6.0,0.0,0.0,0.0,0.005357425587552278,0.5346960308908046,0.03468245386741603,0.13797065094511468,0.2950424868053094,1.8120164150207805,0.7986569404602051,0.32290885584562823,0.008807967631497044,0.008807967631497044,0.05393434446830631,0.11024784199305059,0.2105591882777613,0.3492555009131257,1.2881170479649153,0.8407769799232483,0.39650799062971454,3.7107,38.843963623046875,3.245245215402128e-05,2.6371586322784424,3.3244,138.072,17.447
3612,7.0,0.0,0.0,0.0,0.004465207148160278,0.5816720545977011,0.0325037901073713,0.11588242461466446,0.26302546113105296,0.6197846468514415,0.8223612308502197,0.34937690325276133,0.010060233243624246,0.010060233243624246,0.0386037897524838,0.09003065417747283,0.19607622178772624,0.3381588040692004,1.36168238771494,0.8378169536590576,0.3808788502901338,3.4228,16.638742446899414,2.9796792009416296e-05,2.272709369659424,3.337,137.548,17.381
4128,8.0,0.0,0.0,0.0,0.0024360128800281966,0.6086341594827587,0.027229461475154874,0.07805723518548847,0.2013491887727153,0.2558102669808196,0.831367015838623,0.3294141167985815,0.016122004357298474,0.01568627450980392,0.048552736747088134,0.10067580052021519,0.2091623293974117,0.3498570658531726,1.24393720091784,0.84048992395401,0.3936852854402626,3.0731,14.858620643615723,2.6890293947553708e-05,2.0814268589019775,3.3334,137.698,17.4
4644,9.0,0.0,0.0,0.0,0.0033044571654032386,0.6351360452586207,0.032020113084544034,0.07918696141342829,0.20248830205762178,0.2556138241252191,0.8332918286323547,0.3227788959570992,0.005965349102604004,0.005965349102604004,0.049894331828085246,0.09739336167487057,0.20160382056730994,0.3431098236336826,1.3219571658205242,0.8394526839256287,0.39002228068889877,2.7606,24.162334442138672,2.3807376198365338e-05,1.833672285079956,3.3336,137.691,17.399
