step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,semantic_similarity,rag_rouge1,rag_rougeL,rag_bleu,rag_meteor,rag_chrf,rag_fuzzy,rag_len_ratio,rag_bertscore_f1,rag_semantic_similarity,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,0.0,0.0,0.26670903784977057,0.26670903784977057,0.22592102721871463,0.19586258766243891,0.666593481172948,0.5418628758456083,0.3559254884520567,7.408257132199769,0.8919890522956848,0.7761050678458479,0.010901837208839745,0.010826523558475383,0.003745065991403021,0.04326541180524643,0.15058958980432555,0.22052268189880686,5.939940799240397,0.7928197383880615,0.320322176154289,0.0,0.0,0.0,6.977142810821533,5.801,77.572,19.479
1012,1.0,0.00044444444444444447,0.11787903993737708,0.11750866956700672,0.14786134385563265,0.0004435960198499096,0.3584525047056397,0.35796529120266013,0.33800561992244704,3.9908084014799097,0.8554728627204895,0.5703579599873887,0.05366945356749278,0.052665865434492885,0.023436919823870344,0.08264931025315304,0.19413231532830597,0.28524031240837305,3.2435984959536834,0.817452073097229,0.396595549515552,2.379,3.15714955329895,3.8667984189723325e-05,1.848414421081543,5.8454,76.984,19.331
2024,2.0,0.0008888888888888889,0.10950444681423042,0.10950444681423042,0.09873224507919855,7.42770672152525e-05,0.2859390856275528,0.3068291655924699,0.3152594245855767,3.3335798137804002,0.8499414324760437,0.5369581305268738,0.06522722500308575,0.06483627850102813,0.04270448660011653,0.10021265290339372,0.20872560109388788,0.30367450627895337,3.1228252307925155,0.8222504258155823,0.3957280650784572,1.8257,3.535554885864258,3.733465085638999e-05,1.7451248168945312,5.8468,76.965,19.327
3036,3.0,0.0,0.15003600076957974,0.15003600076957974,0.16298192990798602,2.911038658593386e-05,0.43322482116361705,0.40738871473632143,0.348518124783456,5.04043425905953,0.8756773471832275,0.6242634945942296,0.0696026513027545,0.067907701807805,0.03689358490579792,0.10443593830950204,0.21960856155846226,0.30203073156692617,3.9161921730651543,0.8258786797523499,0.4054283959323333,1.612,1.0179073810577393,3.600131752305666e-05,1.6559724807739258,5.8551,76.856,19.299
4048,4.0,0.0,0.12492541192979419,0.12492541192979419,0.151988946747727,9.979719933196088e-05,0.4086115911660959,0.39886322746235126,0.35000964421114766,4.338036218099834,0.8637927770614624,0.62318774927987,0.061397244335099736,0.061075206737699825,0.03636208674226922,0.09705543444096973,0.2084752090981485,0.2952989269861892,3.7411328222021814,0.821800172328949,0.40156157623479766,1.4626,2.9886651039123535,3.466798418972332e-05,1.6400086879730225,5.8481,76.948,19.322
5060,5.0,0.0,0.11104543536826224,0.11104543536826224,0.14144649446326554,5.293632745754721e-05,0.32856612814086467,0.35887186958112943,0.37244627965435195,3.4354999568889926,0.8556748032569885,0.5844104556656546,0.05600821501243382,0.055450180454399256,0.039564658313924285,0.10072164882211934,0.2094197272706644,0.3023441645361474,3.3536769404320506,0.820307731628418,0.4063035679401623,1.3393,1.9122414588928223,3.333465085638999e-05,1.6456538438796997,5.8524,76.892,19.308
6072,6.0,0.00044444444444444447,0.1477176997280515,0.1477176997280515,0.16527769130167128,5.293632745754721e-05,0.37194021489789275,0.39643391922088395,0.39625898855989133,3.426373633159819,0.8658968210220337,0.6058826200928953,0.06201094210215822,0.06104627379449873,0.03416100495828963,0.09298752163264623,0.20573173761350838,0.3009870968128507,3.2535583804814525,0.823006808757782,0.4010929410316878,1.2408,3.187551259994507,3.2001317523056656e-05,1.6439249515533447,5.8516,76.902,19.311
7084,7.0,0.0017777777777777779,0.14746169300762596,0.14746169300762596,0.16399191457308127,7.457338741384035e-05,0.4058717345283213,0.41567059947640184,0.393824609360247,3.6425811159536914,0.8656564950942993,0.6199651703114311,0.057802610815975035,0.05722382910385999,0.03242429089192996,0.09535714575181477,0.20823315872595843,0.2928231132335631,3.850207738208684,0.8218483924865723,0.40142874956586294,1.1547,3.0065011978149414,3.066798418972332e-05,1.675645351409912,5.8528,76.887,19.307
8096,8.0,0.0008888888888888889,0.1429585571018429,0.1429585571018429,0.14586940714596092,6.816385926024228e-05,0.3976834726144569,0.40125300292268823,0.3679156681735304,4.2057595868521025,0.863716721534729,0.609294549923804,0.06328424697351875,0.06240157162417673,0.038123327403393005,0.10143550508574528,0.21521428131180256,0.30066202034396017,3.9335711428273448,0.8223472833633423,0.4128445346334742,1.0702,2.090256452560425,2.9334650856389987e-05,1.6938295364379883,5.8528,76.886,19.307
9108,9.0,0.0,0.1338528011126238,0.13380051353092445,0.13383619288373713,8.192502939244474e-05,0.3676860022971826,0.38197686476526865,0.36214420803902475,3.9204212293637775,0.8567548394203186,0.5990099864080548,0.06107608660841891,0.06059109999009896,0.036180934920702304,0.0978526857077687,0.21357694162833163,0.30213095622565234,3.7530038774135974,0.8241673707962036,0.4073759384933445,0.9979,3.7809360027313232,2.8001317523056654e-05,1.707398533821106,5.8569,76.833,19.294
10120,10.0,0.0044444444444444444,0.13084882766648137,0.1289116142626013,0.1605227824955948,0.00011884465956726722,0.38002389570115447,0.39993433730280653,0.3898190195251106,3.3565025194508515,0.8627501130104065,0.6032752445431219,0.06537676553892029,0.06508046924262399,0.03766508003063736,0.09485225890750924,0.20975218635305629,0.30537043178329715,3.393434123658622,0.8241420388221741,0.4040323566198349,0.9326,2.4918131828308105,2.666798418972332e-05,1.725341558456421,5.8565,76.838,19.295
11132,11.0,0.0022222222222222222,0.13598983454929017,0.13533798269743832,0.1544607098176416,3.2113839170196875e-05,0.3454156727682102,0.37987170436189877,0.3929559539301339,2.954983405598836,0.857632577419281,0.5929528974336055,0.06190865068501807,0.06143992188295594,0.036795956152223155,0.09483400536105059,0.20912999043496486,0.30596849458101,3.2351677706701123,0.8227385878562927,0.40273399531965454,0.8679,2.1458663940429688,2.5334650856389988e-05,1.7480616569519043,5.8501,76.922,19.316
