step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,semantic_similarity,rag_rouge1,rag_rougeL,rag_bleu,rag_meteor,rag_chrf,rag_fuzzy,rag_len_ratio,rag_bertscore_f1,rag_semantic_similarity,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,0.0,0.07511111111111111,0.17919214162826605,0.17908756646486737,0.37369176638327284,0.16751583752707955,0.5462609720787771,0.5675148200051231,0.5819529497536244,1.7202166376625205,0.9136523604393005,0.7265223885091643,0.02733111132918857,0.027082468767792495,0.005297686731278783,0.0777299530530671,0.2061334105711014,0.23473975919977744,7.257951038281386,0.8182821273803711,0.4157939887543519,0.0,0.0,0.0,5.256321430206299,5.8307,77.178,19.38
1012,1.0,0.004,0.1143995068234559,0.11438018315195832,0.18124890674921093,0.0002348855230567367,0.37468891826877043,0.3979360377658174,0.4154863659723532,2.1273513589084847,0.874129593372345,0.6099797393787239,0.06310501459498706,0.06273901688589582,0.013914502104912676,0.10909206759130866,0.22474864312269074,0.2368910830529768,7.857768034098648,0.8256432414054871,0.4353563124082155,2.3215,3.24753475189209,3.8667984189723325e-05,1.7312171459197998,5.9215,75.994,19.083
2024,2.0,0.0022222222222222222,0.1014284377807932,0.1014284377807932,0.12414021306832283,0.00020673444255238805,0.315894352579765,0.3509561281938805,0.3667100386887977,2.902435243245899,0.8642969727516174,0.5674667647841076,0.06821327300398164,0.06739865729237121,0.02367314096277518,0.12322773160856382,0.2330076511741379,0.23966817511630525,7.9737133829137035,0.8269957900047302,0.4379167486487163,1.7147,3.3942136764526367,3.733465085638999e-05,1.6507294178009033,5.935,75.821,19.04
3036,3.0,0.0026666666666666666,0.12893210195350208,0.12893210195350208,0.17146486508067524,0.00025321349710957883,0.40709649317159996,0.41314995968065005,0.3923694663675864,3.683088538583174,0.877033531665802,0.6409654563110736,0.06657542432810706,0.06580713464600209,0.020684247763283325,0.11965285537575268,0.230518691635352,0.23835650220942878,7.922857962356103,0.8261584639549255,0.4363368911089169,1.5411,1.2281180620193481,3.600131752305666e-05,1.6228909492492676,5.9236,75.968,19.076
4048,4.0,0.00044444444444444447,0.13919069564311443,0.13919069564311443,0.15355777432224643,0.0001849737148988337,0.36050432147600836,0.3848078837123215,0.38418030945302784,2.924782290675959,0.868545651435852,0.5992614215910435,0.065957619183784,0.06457096264274541,0.016713410779551918,0.11320912038075487,0.22574964246279,0.23638865094995895,7.9171520011803125,0.8253804445266724,0.43298972973310285,1.4094,3.6400039196014404,3.466798418972332e-05,1.6183642148971558,5.9361,75.807,19.036
5060,5.0,0.0013333333333333333,0.14763037201787307,0.14763037201787307,0.140103643571489,0.00020427480654524932,0.3473306227069208,0.3807290898176085,0.3767679579955048,3.54764830217743,0.8687663078308105,0.5899852484092116,0.0673555075512685,0.06641580400511334,0.017756376468579003,0.11531102347337019,0.22686928330643616,0.23661198862910776,8.031813104780353,0.8256711959838867,0.4315609021836685,1.2953,1.9386682510375977,3.333465085638999e-05,1.629050612449646,5.9334,75.842,19.045
6072,6.0,0.0026666666666666666,0.16494555291359275,0.16494555291359275,0.17441021625192815,0.00011283449813996351,0.40033687631422205,0.415790752915908,0.39955717614071073,3.2539526716238814,0.8754196166992188,0.6185618018214073,0.06826191804117547,0.0667660257789762,0.019271548935354453,0.11641482166460095,0.22841129418279155,0.23774454842754394,7.939378518386262,0.8253578543663025,0.4323428481618563,1.2022,3.5129547119140625,3.2001317523056656e-05,1.639745831489563,5.9296,75.89,19.057
7084,7.0,0.0008888888888888889,0.15408544470875915,0.15408544470875915,0.17021814906847701,0.00015083471104202094,0.3810796222641599,0.41371488866055145,0.41524945889724624,3.010033098136756,0.8720507621765137,0.6020013239867985,0.06692415809492659,0.0658185236002312,0.01824130646413662,0.11892695943763952,0.22921007960493556,0.23833192321853464,7.9370722693529325,0.8256736993789673,0.43268012546334,1.1196,3.4999451637268066,3.066798418972332e-05,1.674939513206482,5.9367,75.799,19.034
8096,8.0,0.0026666666666666666,0.14750361065109874,0.14750361065109874,0.1798091992669796,0.00012553267384816342,0.39483588441613715,0.41972650422194535,0.40878785225886893,3.291761274788863,0.8710954785346985,0.5982538363734881,0.07086227010818721,0.07005223966129581,0.022012891237789014,0.12040520364338035,0.23141234963769025,0.23968745532356772,7.892868832481078,0.8256087899208069,0.4329500120787157,1.0375,2.3188953399658203,2.9334650856389987e-05,1.6935009956359863,5.9367,75.8,19.034
9108,9.0,0.00044444444444444447,0.1764078200233876,0.17596337557894315,0.17495647381936427,0.00014172114774326636,0.4051469006239253,0.42052932622740724,0.3977994127352906,3.637725151682579,0.8709613680839539,0.5969234175706903,0.07150696669861971,0.07091764290149193,0.019980438291668953,0.11920430630315347,0.22994888511931588,0.23842425580750073,7.962719854338143,0.8256543874740601,0.4320853898177544,0.9666,4.188323974609375,2.8001317523056654e-05,1.7161623239517212,5.9452,75.691,19.007
