step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,semantic_similarity,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,,0.0,0.002773780975219824,0.002773780975219824,0.0017401720587853667,0.03512834821428571,0.00811136012503487,0.04654903448139505,0.15723214923240217,0.762524487898033,0.7850165367126465,0.1788972796783481,,,,28.822559356689453,8.6183,64.514,8.122
626,1.0,0.0,0.0,0.0,0.005201883705032012,0.5227678571428571,0.025462051766981228,0.14119416005705335,0.26050144376118367,1.4711165883710482,0.7874642610549927,0.36090461518096223,7.7978,21.517257690429688,0.0003998722921345728,2.955556869506836,8.6119,64.562,8.128
1252,2.0,0.0,0.0,0.0,0.0026158401300570276,0.5538783482142857,0.01916387462122509,0.12690593720665513,0.2630237823593475,2.802677247982601,0.7638843059539795,0.31862083093444116,2.9982,177.86160278320312,0.0003992194355924198,2.634584665298462,8.6405,64.348,8.101
1878,3.0,0.04892086330935252,0.04913069544364509,0.04913069544364509,0.10014982061864972,0.82578125,0.1746166997061813,0.28894761203774944,0.41102616028826344,1.637065774535753,0.8580861687660217,0.46465171467472643,1.6395,1.0088022947311401,0.00039801467180633287,0.9069819450378418,8.6356,64.385,8.106
2504,4.0,0.06510791366906475,0.06115216917375191,0.06115216917375191,0.1250650435273993,0.8381975446428571,0.2027506235536813,0.33465224045634545,0.46112268442494636,1.2351138476522603,0.868520975112915,0.5396086372977806,0.9726,1.3473567962646484,0.000396261338391735,0.839492917060852,8.6212,64.492,8.12
3130,5.0,0.06330935251798561,0.04796318789124545,0.04796318789124545,0.12483149760522848,0.8456194196428571,0.20689104539291422,0.3428699320904173,0.4640191690450414,1.345576212334679,0.8654005527496338,0.5442661269614808,0.8709,0.34354647994041443,0.00039396429269303974,0.7886565923690796,8.6424,64.334,8.1
3756,6.0,0.05,0.06407868510386497,0.06407868510386497,0.12289720046231488,0.8503069196428571,0.1995672428930971,0.3228454499878615,0.4533732043301921,1.1006258218669827,0.8616940975189209,0.5502295288820115,0.8121,1.1341042518615723,0.00039112989832711494,0.7715686559677124,8.6135,64.55,8.127
4382,7.0,0.06151079136690647,0.07093205954716746,0.07093205954716746,0.1448877887314001,0.8532645089285714,0.22148951032393183,0.3491356055990629,0.47312541568992117,1.1883620249494482,0.8691263794898987,0.5651835769113395,0.7645,0.6064792275428772,0.0003877660075538472,0.7585099935531616,8.6182,64.514,8.122
5008,8.0,0.05,0.07570108199154962,0.07570108199154962,0.11492530271394259,0.8545479910714285,0.19443164949254702,0.315848760120758,0.44605709324365544,1.1495219133193118,0.8669836521148682,0.5536192307577019,0.7283,0.5251727104187012,0.00038388193952264613,0.7531685829162598,8.6289,64.435,8.112
5634,9.0,0.04748201438848921,0.07266002582549345,0.07266002582549345,0.1117372621160905,0.8575613839285714,0.1955675330888101,0.3300598606495279,0.4634185246841554,1.0894221587123678,0.8682494163513184,0.5711721420107182,0.694,0.8687666058540344,0.00037948845445515345,0.7460702061653137,8.6278,64.443,8.113
6260,10.0,0.06654676258992806,0.09178643898068359,0.09178643898068359,0.14334829937296664,0.858203125,0.2272852413818249,0.3517120316768898,0.47871999221477857,1.159890144179137,0.872803807258606,0.5775428872193685,0.6633,0.21206440031528473,0.0003745977238356808,0.7420300245285034,8.6415,64.34,8.1
6886,11.0,0.05575539568345324,0.10602585464096255,0.10602585464096255,0.14108883418304735,0.860546875,0.22814469918977345,0.3390349157571275,0.4670134562356579,1.1095091585445964,0.8715133666992188,0.5806456198976141,0.6347,0.1710914820432663,0.00036922329669195736,0.7416785359382629,8.642,64.337,8.1
7512,12.0,0.060431654676258995,0.1187254591930851,0.1187254591930851,0.13905502472895692,0.8607421875,0.2260102510690996,0.3478808989783307,0.4770141194006041,1.1159802278627968,0.8736570477485657,0.5838946365959031,0.6109,0.3505658805370331,0.00036338006205960236,0.746204137802124,8.6117,64.563,8.128
8138,13.0,0.06618705035971223,0.10161313835456874,0.10147267929324637,0.15334784982295094,0.8620535714285714,0.24024382314808937,0.3718771373829374,0.49385904188118496,1.1686561385370255,0.8769739270210266,0.5973578561512793,0.5889,0.38600316643714905,0.0003570842077343097,0.7467272281646729,8.6407,64.347,8.101
8764,14.0,0.06546762589928058,0.11078123202053532,0.11062135991821717,0.1473032803916514,0.8614397321428572,0.23292818016306652,0.3514113467014609,0.4759242947249744,1.1010486308318164,0.8733047246932983,0.5907149536863452,0.5655,0.6969252824783325,0.0003503531754260137,0.7542650103569031,8.6566,64.229,8.086
9390,15.0,0.05431654676258993,0.109224048827125,0.10914411277596592,0.13459440330262712,0.8636997767857143,0.21744108183063454,0.34686660557285204,0.471463924752181,1.027533299218861,0.8737884163856506,0.5911548500424988,0.5456,0.7437680959701538,0.00034320561243927607,0.758124828338623,8.624,64.472,8.117
10016,16.0,0.06546762589928058,0.1261849883310779,0.12586524412644162,0.17443941133192564,0.8647042410714286,0.26161278651740083,0.37837778931247856,0.5031162894803735,1.0892717141537158,0.8797349333763123,0.6105140209412403,0.5262,1.2979466915130615,0.0003356613200137555,0.7546592354774475,8.6313,64.417,8.11
10642,17.0,0.052158273381294966,0.11014644442081803,0.10980563332585164,0.13237290297966195,0.8640345982142857,0.22216597489280882,0.3455571076072877,0.47635412230614693,1.0191722922293807,0.8746687173843384,0.5916740524230806,0.5067,1.595881700515747,0.0003277411984678755,0.770832896232605,8.6446,64.318,8.098
11268,18.0,0.05503597122302158,0.12542096659601115,0.1253410305448521,0.16087562508826098,0.8634765625,0.24862851483019346,0.37001727644021637,0.4975347730545543,1.0264728338612965,0.8788781762123108,0.6067080846119993,0.4887,0.12275010347366333,0.0003194671892976601,0.7664265632629395,8.6264,64.453,8.115
11894,19.0,0.06402877697841726,0.1341705882751386,0.1341705882751386,0.1734811448791841,0.8635323660714286,0.260533280080537,0.38207364236960845,0.5049892280811655,1.1075346681877536,0.8807919025421143,0.6141948929897396,0.473,0.6646896600723267,0.0003108622143911464,0.7798373699188232,8.6194,64.506,8.121
12520,20.0,0.05647482014388489,0.13305638605998318,0.1329764500088241,0.14108943349641603,0.8651506696428571,0.22990442338496003,0.3584999821677969,0.48672314080284945,1.0306439376507222,0.8773483037948608,0.6025936643981623,0.4574,0.8208765983581543,0.0003019501125267679,0.7830931544303894,8.6419,64.337,8.1
13146,21.0,0.05827338129496403,0.12259642532279595,0.12251648927163687,0.14911795066656866,0.8625837053571429,0.23716335540002292,0.3598910844896544,0.4884906384119391,1.1254140568792679,0.8766663074493408,0.5939808692454809,0.4415,0.3479919731616974,0.00029275557333163375,0.7964256405830383,8.6325,64.408,8.109
13772,22.0,0.06366906474820144,0.1324997354176364,0.13227510228991396,0.17074615200171353,0.86328125,0.25701494759229804,0.38195327813443825,0.504812499007366,1.0682423201810083,0.8814437389373779,0.6157036003204425,0.4266,0.6978585720062256,0.000283304068882659,0.8038150668144226,8.655,64.24,8.088
14398,23.0,0.05287769784172662,0.1342178205487558,0.13409428301514634,0.15481691489353308,0.8635323660714286,0.24263678712169975,0.36048930272650115,0.4891809297370557,1.0338311480321225,0.8773418068885803,0.6052590019377819,0.4158,0.8451460599899292,0.000273621783140038,0.8163338899612427,8.6377,64.369,8.104
15024,24.0,0.05467625899280575,0.13170914582237697,0.13138940161774068,0.14279210610219753,0.8644810267857143,0.2288451588530692,0.34974336189740446,0.4807228719311706,0.9942975329578059,0.8756511211395264,0.6013428891057537,0.4001,0.7607504725456238,0.00026373553940855165,0.823091447353363,8.6123,64.559,8.128
15650,25.0,0.05503597122302158,0.11950719470692966,0.1193473226046115,0.14632816767226156,0.8641741071428571,0.2348728592249473,0.3579966998854067,0.48412225109044593,1.1044904760298677,0.8747376203536987,0.5998687207883077,0.3856,1.1654621362686157,0.0002536727260276684,0.8405219316482544,8.6219,64.487,8.119
16276,26.0,0.06654676258992806,0.13524266301244717,0.1349229188078109,0.15501975905141613,0.8633370535714285,0.2418948611722541,0.3706382008042731,0.49506416307985046,1.1129084640707683,0.8783650398254395,0.6054832364043904,0.3749,1.0916855335235596,0.0002434612204963016,0.8619605898857117,8.6394,64.357,8.102
16902,27.0,0.07014388489208633,0.1324437968657765,0.132168907059753,0.15696965126737283,0.8643694196428572,0.24501392800842223,0.37261961505328783,0.49503854118817536,1.1123762462394857,0.8787667751312256,0.6061749035887849,0.3655,1.1421287059783936,0.0002331293122424254,0.8549758791923523,8.6276,64.444,8.114
17528,28.0,0.05539568345323741,0.1211031487129556,0.12102321266179654,0.14017325387726307,0.8640066964285714,0.2288012699671716,0.3547045352170789,0.48396529938099814,1.0102160877878086,0.876444935798645,0.597812712051497,0.3546,0.6478348970413208,0.0002227056242515031,0.8616081476211548,8.65,64.277,8.092
18154,29.0,0.060431654676258995,0.13601872604564272,0.13593878999448367,0.15564768474600293,0.8637834821428572,0.24272030782558993,0.3676491705199845,0.4927735700119456,1.0881483939507408,0.8783198595046997,0.6073483209996718,0.3455,0.9388402104377747,0.00021221903377084545,0.8619436025619507,8.6277,64.444,8.113
18780,30.0,0.05539568345323741,0.11995277669490023,0.11974614397152229,0.13820674106914574,0.8630580357142857,0.22294279925144692,0.35177468502504416,0.4812961708940247,1.0253868289783015,0.8750534653663635,0.6000343986217388,0.3357,0.6648439764976501,0.00020169859230957456,0.8767646551132202,8.6392,64.358,8.103
19406,31.0,0.058633093525179855,0.13893484227396408,0.13880529074277526,0.15248090044822926,0.8638113839285714,0.2379257692086332,0.3578984549359977,0.4874383778885982,1.0284577706309244,0.8762143850326538,0.6036620135583225,0.326,1.1174709796905518,0.00019117344515582268,0.8830648064613342,8.6294,64.431,8.112
20032,32.0,0.05503597122302158,0.13606068281893138,0.1356849869582442,0.14881283455607014,0.8634207589285714,0.23767115356727772,0.35775326311012956,0.48690225817257726,1.0363288487701716,0.8761044144630432,0.5992751903761607,0.3177,1.3992304801940918,0.00018067275063412953,0.891817033290863,8.6576,64.221,8.085
20658,33.0,0.05575539568345324,0.13656248627471648,0.1363289588109732,0.14760609965079546,0.8642299107142857,0.2347152701064777,0.35628807442951305,0.4846987831798208,1.0430003202674234,0.8756983280181885,0.6004067975196907,0.3114,0.2450682371854782,0.0001702255993267247,0.9098907709121704,8.6507,64.272,8.092
21284,34.0,0.058633093525179855,0.1335104536165067,0.13317389527697143,0.1515057721199881,0.8639787946428571,0.24011184647802838,0.3664460352164537,0.4921356761725512,1.088766840033614,0.8776393532752991,0.6088242625281644,0.3015,0.49267032742500305,0.0001598609334824802,0.9108625054359436,8.625,64.464,8.116
21910,35.0,0.05287769784172662,0.13288234437080876,0.13277760057963484,0.13762066756126456,0.8638950892857142,0.22287212427045983,0.34359607652361757,0.47531803334628364,1.0221237063623283,0.8744313716888428,0.595585379277845,0.2966,1.774081826210022,0.00014960746683679725,0.9217327833175659,8.6506,64.273,8.092
22536,36.0,0.05503597122302158,0.12709648313592745,0.12684339407112913,0.1429579927180645,0.863671875,0.22909734250201672,0.35644476941287184,0.48421451068864635,1.0403193345300383,0.8757658004760742,0.5988123131691472,0.2896,0.7475826144218445,0.00013949360506455567,0.9284815192222595,8.6201,64.5,8.121
23162,37.0,0.060431654676258995,0.14291328841688555,0.14272677096418104,0.15245870074540058,0.8637834821428572,0.23956792713269176,0.36409431319922186,0.49060482389318627,1.1048810519517713,0.8767083883285522,0.6039441591932726,0.2839,0.1917538344860077,0.00012954736708649817,0.9342612028121948,8.6192,64.507,8.121
23788,38.0,0.058992805755395686,0.12526474655474903,0.12483632440218895,0.14326864291846597,0.8632533482142857,0.23031565096595924,0.35687839653370135,0.4846641065487851,1.0272518560012889,0.8757328391075134,0.5998424288920603,0.2773,1.2805649042129517,0.00011979630744705774,0.9392009377479553,8.628,64.442,8.113
24414,39.0,0.060431654676258995,0.14037747091703925,0.14019361799937338,0.1529217431544395,0.8638671875,0.23957426490845282,0.36484256754468725,0.49274554747949034,1.0514008784143964,0.8773495554924011,0.6043867507510611,0.2719,1.9704782962799072,0.00011026743997867022,0.9632208943367004,8.6386,64.362,8.103
25040,40.0,0.058992805755395686,0.1372819839366602,0.13678866430664993,0.15014581836590152,0.8634765625,0.23784040948799584,0.3621119036926953,0.4908765611748654,1.0673260249615535,0.8768327236175537,0.6048947139100419,0.267,0.16288582980632782,0.00010098716296404665,0.9577581286430359,8.6428,64.331,8.099
25666,41.0,0.06223021582733813,0.13840414767752895,0.13816582405071615,0.1521804009804628,0.8635323660714286,0.23987910823463368,0.36500062745096995,0.4903757220162644,1.085465353970602,0.8766000270843506,0.6014491327669766,0.2617,0.40679916739463806,9.198118600373284e-05,0.9599889516830444,8.6264,64.454,8.115
26292,42.0,0.05683453237410072,0.129194490056559,0.12898665632354542,0.14199933569477624,0.8634765625,0.22473023346463422,0.3494995388273568,0.4795196528739164,1.0347362236730588,0.8742803931236267,0.596353038085839,0.2601,0.1419595181941986,8.327445879155938e-05,0.9712681174278259,8.6587,64.213,8.084
26918,43.0,0.058992805755395686,0.13185641407757506,0.1314631011417169,0.1420432595599453,0.8633928571428572,0.22945087740756712,0.35695331174944744,0.48602166477659514,1.062120105958377,0.8754382133483887,0.6009049352693955,0.2563,0.7885048389434814,7.489110199529678e-05,0.9878463745117188,8.6419,64.338,8.1
27544,44.0,0.053597122302158275,0.12658833040128004,0.12646043271942553,0.13415439101466572,0.8632533482142857,0.21933868645955873,0.3434791423911131,0.47611370529575936,0.9985566196918426,0.8735065460205078,0.593958857935592,0.2536,0.7497389912605286,6.685434043400234e-05,0.9756079316139221,8.6341,64.396,8.107
