step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,semantic_similarity,rag_rouge1,rag_rougeL,rag_bleu,rag_meteor,rag_chrf,rag_fuzzy,rag_len_ratio,rag_bertscore_f1,rag_semantic_similarity,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,0.0,0.0,0.0019464434449441945,0.0019464434449441945,0.0016524805656408432,0.039365571120689655,0.008136584983882053,0.04645692580039302,0.16236133550325987,0.41694514312541636,0.7877388000488281,0.16727052530172565,0.00572463768115942,0.00572463768115942,0.023326839191053796,0.06817677609365724,0.1805492722770916,0.3265906815223894,1.4176964142322508,0.8355984687805176,0.356544408214319,0.0,0.0,0.0,25.25823402404785,7.0227,65.502,8.259
517,1.0,0.0,0.0,0.0,0.0,0.4050713900862069,3.17359568390987e-05,0.005484286469913875,0.07722687238154036,0.9565290976455673,0.7497812509536743,0.1520505508997113,0.009116632160110421,0.009116632160110421,0.029931810754039754,0.07387229343658175,0.18467365987638235,0.32809676431229795,1.1528647192607282,0.8360331058502197,0.3667507466900608,17.6509,1902.564453125,3.9985022305839166e-05,4.911369800567627,7.1131,64.669,8.154
1034,2.0,0.0,0.0,0.0,0.0005262194543052589,0.43345905172413796,0.003018566036347765,0.09325959863153101,0.23715705124600794,0.5987232540906993,0.7977403998374939,0.31591838758965224,0.0007246376811594203,0.0007246376811594203,0.029931888772505837,0.07451445639054467,0.18470080363574223,0.32596570132911373,1.2462564739769886,0.8362284898757935,0.3683324049105463,4.788,89.95342254638672,3.989599882232212e-05,3.908287763595581,7.1151,64.651,8.152
1551,3.0,0.0,0.0,0.0,0.0014580219973757268,0.4382408405172414,0.00907339638113274,0.09636422213807129,0.23804365684944073,0.6828047726012718,0.804511308670044,0.3117683154364805,0.004347826086956522,0.004347826086956522,0.03304136941103342,0.07907299561025091,0.18730244128819332,0.32414216254219336,1.274353163948011,0.8347232937812805,0.3699589284339353,4.1003,139.96652221679688,3.972722606805445e-05,3.734231948852539,7.1315,64.502,8.133
2068,4.0,0.0,0.0,0.0,0.002517165097416928,0.4457165948275862,0.014826212716870431,0.09928353147209476,0.24164798456387307,0.5984472471812361,0.805015504360199,0.2977852215099594,0.002173913043478261,0.002173913043478261,0.04001364536045696,0.08440819461940167,0.1947457483609835,0.3376028522523962,1.208342279329033,0.8384434580802917,0.3750267263420898,3.8783,190.65444946289062,3.9479380536043404e-05,3.5194544792175293,7.1298,64.518,8.135
2585,5.0,0.0,0.0,0.0,0.003208112993693095,0.4616783405172414,0.018267624804111985,0.09957917130460521,0.24034222138780265,0.781317437810312,0.7911006212234497,0.2844266915274784,0.006123188405797101,0.006123188405797101,0.027568427256322664,0.0717750727206509,0.18491008556884808,0.3292369793547472,1.309026775635813,0.8351475596427917,0.36965936861689325,3.7208,74.1712417602539,3.9153455667262375e-05,3.27675199508667,7.118,64.625,8.148
3102,6.0,0.0,0.0,0.0,0.003184143911408889,0.48474542025862066,0.01920125514410563,0.11685491601814679,0.2717454534660987,1.369792924549997,0.780375063419342,0.29502714523579926,0.00782608695652174,0.00782608695652174,0.029205023180308806,0.07451772302259078,0.18444890546305343,0.3245701627491545,1.203751337310515,0.8358545899391174,0.3746614528576965,3.5643,79.869384765625,3.8750757868634514e-05,2.9816794395446777,7.1386,64.438,8.125
3619,7.0,0.0,0.0,0.0,0.0073694757232138355,0.6069167564655172,0.04165407572423238,0.13895889142872622,0.29946748762128256,0.6334623419553091,0.8258141279220581,0.37577500704878375,0.00393719806763285,0.00393719806763285,0.030140974649060532,0.07993554812680237,0.19040123406791146,0.3328262309886352,1.223802512727811,0.8371158242225647,0.3746567291855488,3.2503,6.69317626953125,3.82729012765528e-05,2.071704149246216,7.134,64.48,8.13
4136,8.0,0.0004347826086956522,0.043442028985507246,0.043442028985507246,0.058865734633146226,0.7451508620689655,0.10611353538648186,0.20654363093955616,0.37240690467888266,0.8226613855313535,0.854731023311615,0.4521022464164897,0.003260869565217391,0.003260869565217391,0.028631251366944006,0.07456626380579942,0.1833036561276971,0.32700790324544177,1.2099465979535966,0.8357908725738525,0.3821422341401162,1.9793,1.5507426261901855,3.772180128692584e-05,1.3261348009109497,7.1327,64.491,8.132
4653,9.0,0.020869565217391306,0.040864389233954454,0.040864389233954454,0.10301177361806971,0.7670730064655172,0.1569475489713424,0.2819878629370111,0.43917207422624327,1.2561496313235931,0.8659855127334595,0.46386811532282635,0.0050724637681159425,0.0050724637681159425,0.023993061175670127,0.06511094666186494,0.17656479304015146,0.32321318398102233,1.12356725667215,0.8334402441978455,0.36539348376428954,1.4874,2.217794179916382,3.7099666877683106e-05,1.1997722387313843,7.1298,64.518,8.135
5170,10.0,0.03173913043478261,0.04679399585921325,0.04679399585921325,0.1188170793878143,0.7798019935344828,0.1783156104422639,0.30196110519666003,0.4516421902204724,1.3315495491158866,0.8683074116706848,0.45977654572292836,0.005072463768115942,0.005072463768115942,0.031193284954558656,0.07623931929326568,0.1916117684663961,0.3349967617055982,1.140114348719795,0.8373555541038513,0.379264915752751,1.3579,0.9012272357940674,3.640899175451331e-05,1.1615707874298096,7.126,64.552,8.139
5687,11.0,0.023043478260869565,0.01680745341614907,0.01680745341614907,0.09631743624030563,0.7856276939655172,0.16751117692233164,0.2924379364122879,0.44301552731804505,1.3074815174279348,0.8664251565933228,0.43926919205681136,0.0056410256410256415,0.0056410256410256415,0.025797881473649194,0.07050477756221939,0.18390941943204847,0.3253806927074401,1.3434286909151132,0.835033655166626,0.3710451263367482,1.2818,0.9242937564849854,3.565254435532653e-05,1.109796404838562,7.1222,64.587,8.144
6204,12.0,0.033478260869565214,0.04190579710144928,0.04190579710144928,0.11252838090728588,0.789129849137931,0.18540641199186636,0.3110109352264697,0.4521670159653888,1.4601416310540494,0.8667241930961609,0.44178928403872186,0.002157567832625041,0.001928734880679961,0.030821225464892424,0.07790797188347055,0.19105117983303213,0.33360309520825393,1.3108827728198125,0.8380832076072693,0.3707376638498238,1.2289,2.5308263301849365,3.483335675350521e-05,1.0938225984573364,7.1178,64.626,8.149
6721,13.0,0.035217391304347825,0.044700828157349895,0.044700828157349895,0.1155537438328842,0.791924838362069,0.1871226545227326,0.31347079964809044,0.45336507476217075,1.4749825989738503,0.8664789199829102,0.44781380313205654,0.003985507246376811,0.003985507246376811,0.03644922087475538,0.08267283352404896,0.1901653424609634,0.33474108668693664,1.064608818031393,0.8374782800674438,0.37919179859935587,1.1943,0.6707754731178284,3.395471250442331e-05,1.0824030637741089,7.1422,64.406,8.121
7238,14.0,0.04043478260869565,0.06142443064182194,0.06142443064182194,0.1261137743345497,0.7936759159482759,0.19627630891698344,0.3231484446595617,0.46063309992571805,1.4438260015232107,0.8687438368797302,0.46275279614628984,0.0035507246376811595,0.0035507246376811595,0.02467555360683737,0.07366385778705707,0.1812499395433237,0.32696568164640033,1.1775666258706543,0.8357510566711426,0.3679062394708719,1.1636,0.8617113828659058,3.302013348394838e-05,1.0640544891357422,7.1394,64.431,8.124
7755,15.0,0.043043478260869565,0.06969028797289667,0.06969028797289667,0.12904261106665382,0.7962688577586207,0.19854653225370653,0.32615568190379185,0.463583618066746,1.4354787012783956,0.8699149489402771,0.46545103276917793,0.004401781793086141,0.004401781793086141,0.03061019345489085,0.07918104913626683,0.1871845722240681,0.33438326067214574,1.1001702477572868,0.8370327949523926,0.3662872508492159,1.1322,0.8254581093788147,3.2033365771682036e-05,1.049668788909912,7.1281,64.533,8.137
8272,16.0,0.036521739130434785,0.057928383210991904,0.057928383210991904,0.12338309185370942,0.7976831896551724,0.1929617928914534,0.3226100283688729,0.4619265156417115,1.416857470637508,0.8685355186462402,0.46344559353614306,0.0022122762148337593,0.0022122762148337593,0.028775500098496554,0.07493391381713986,0.185744758449067,0.3246162205262367,1.2587152337017826,0.8355181217193604,0.36911667093594114,1.1146,1.5383611917495728,3.099836463552292e-05,1.0437697172164917,7.1451,64.38,8.117
8789,17.0,0.036521739130434785,0.0619399585921325,0.0619399585921325,0.11486840205919108,0.7992658943965517,0.18341107199941392,0.3164902455244965,0.4538145442519347,1.4504356371115772,0.8662706017494202,0.46094011810203284,0.007467532467532467,0.007467532467532467,0.029904798675078444,0.07657160049772752,0.18819941536065776,0.33304378562744796,1.2713435888441416,0.836747944355011,0.3695089836442924,1.0928,1.3316773176193237,2.9919278677738847e-05,1.0352363586425781,7.1375,64.448,8.126
9306,18.0,0.03869565217391304,0.05473599347512391,0.05473599347512391,0.11855068870563262,0.8012863685344828,0.1881823963103261,0.3201524812518275,0.4563364014817234,1.4372270248488521,0.8665549755096436,0.4682124528884078,0.0071497584541062795,0.0071497584541062795,0.0237460488343161,0.06948739012430921,0.17843486552170873,0.32363877848660044,1.161268645578254,0.8350059986114502,0.36420344925364073,1.075,1.0806881189346313,2.8800433206095418e-05,1.0273685455322266,7.1291,64.525,8.136
9823,19.0,0.035217391304347825,0.05131193926846101,0.05131193926846101,0.11428803209894148,0.8025660021551724,0.1856377020436357,0.3162911135648714,0.4519980690782135,1.447663830022528,0.8670566082000732,0.4690241160150617,0.005797101449275362,0.005797101449275362,0.023460190795922837,0.07215515294289992,0.18256008872459747,0.32869943522591255,1.092510510626682,0.8345974087715149,0.3668619817406263,1.0594,0.9967098832130432,2.7646312896694746e-05,1.0219711065292358,7.1331,64.488,8.131
10340,20.0,0.03869565217391304,0.05825919491136883,0.05825919491136883,0.1175276201625647,0.8029027478448276,0.18855359044803946,0.3203579317351135,0.4549838301107163,1.4519011568849305,0.867182195186615,0.4754188269020423,0.0015560640732265446,0.0015560640732265446,0.03187533783791151,0.08101398992095736,0.18929136764721066,0.3310055829016338,1.179655120076965,0.8357468247413635,0.3724491207253026,1.0457,1.2600131034851074,2.646154381801699e-05,1.0149426460266113,7.1244,64.567,8.141
10857,21.0,0.036521739130434785,0.05523913043478261,0.05523913043478261,0.12377180436645951,0.8038119612068966,0.19504478060847746,0.32243770568192465,0.459090078315091,1.4126439175044205,0.8680153489112854,0.47790588285004637,0.0035507246376811595,0.0035507246376811595,0.03287978900116608,0.0808448303932604,0.1868109102574827,0.3303273660708497,1.136667358186708,0.837047815322876,0.37221607727848965,1.0308,1.0668413639068604,2.5250874888217815e-05,1.0089116096496582,7.1255,64.557,8.14
11374,22.0,0.03739130434782609,0.060125917560700175,0.060125917560700175,0.12081694689824417,0.8046875,0.1943126623802946,0.3217383294132,0.45607738541781334,1.4199425555228076,0.867057204246521,0.4815129758373065,0.004891304347826087,0.004891304347826087,0.03146164177160274,0.08162764297959908,0.1956470974057969,0.33934132195937516,1.236575008382952,0.8383408784866333,0.3777122987839191,1.0253,1.3786348104476929,2.4019158840006664e-05,1.0110799074172974,7.1331,64.488,8.131
11891,23.0,0.041304347826086954,0.061734640820957955,0.061734640820957955,0.13977887635943023,0.8051589439655172,0.21337897477627324,0.33727016576800767,0.4640825102991213,1.5051254480612946,0.8679265975952148,0.48622065451644036,0.005017659237608087,0.005017659237608087,0.03185469048872271,0.07757536963450694,0.18738710766238634,0.32904885664373024,1.2343917543228577,0.8358475565910339,0.3658383162773174,1.0087,1.0202524662017822,2.2771332769404374e-05,1.0130254030227661,7.1286,64.529,8.136
12408,24.0,0.03869565217391304,0.058836909467344246,0.058836909467344246,0.13972511775958896,0.8067753232758621,0.2119636590301719,0.33517065849337135,0.4672465984172889,1.4256455908611108,0.8691625595092773,0.4892254045172392,0.004347826086956522,0.004347826086956522,0.03111103398779504,0.08074285891571979,0.1893684228582435,0.3303697714202216,1.2818167131065148,0.8360380530357361,0.3725855264286308,1.0013,1.4150031805038452,2.1512398346346855e-05,0.9975321292877197,7.1139,64.662,8.153
12925,25.0,0.04043478260869565,0.06480284208545078,0.06480284208545078,0.14551230729763867,0.8071794181034483,0.21558334701458368,0.3389855362577118,0.4702227006285904,1.4288362347404462,0.8699375987052917,0.49278425489309363,0.003260869565217391,0.003260869565217391,0.020946318290538158,0.06419937170176242,0.17295395102067357,0.31727665177228315,1.1250056070688708,0.8334912657737732,0.36420994196896966,0.9916,1.2051030397415161,2.024740176645656e-05,0.9962481260299683,7.1305,64.512,8.134
