step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,semantic_similarity,rag_rouge1,rag_rougeL,rag_bleu,rag_meteor,rag_chrf,rag_fuzzy,rag_len_ratio,rag_bertscore_f1,rag_semantic_similarity,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,0.0,0.0,0.020185998457353957,0.020099382941582433,0.006257633064350239,0.15574488146551724,0.04484998703417236,0.20038689013409533,0.32639989621479537,2.6025315734958863,0.8238887786865234,0.3792654610356397,0.00572463768115942,0.00572463768115942,0.023334717301867598,0.06814110715665252,0.18073486777910322,0.3269125412061243,1.4193659539948429,0.835510790348053,0.3564093783335841,0.0,0.0,0.0,12.226871490478516,2.1098,218.029,27.491
517,1.0,0.009565217391304347,0.023125258799171843,0.023125258799171843,0.07673943616140746,0.7463968211206896,0.1309465182507054,0.25641030266447534,0.4175141169407285,1.287145681945559,0.8577656745910645,0.4413761673009266,0.004037267080745342,0.004037267080745342,0.03139314898978288,0.08304119285251213,0.19160237158445673,0.3294836267611146,1.283665061541134,0.8368610739707947,0.36669435747696655,4.9373,1.3179627656936646,4.999535531765609e-05,1.3350292444229126,2.0563,223.707,28.207
1034,2.0,0.03608695652173913,0.061149068322981365,0.061149068322981365,0.10799818453432267,0.7708108836206896,0.16565903202682597,0.29541850368428424,0.44058527076384996,1.6162283537470554,0.8615848422050476,0.4474067292931368,0.0053312629399585925,0.0053312629399585925,0.025450031536119855,0.07550585462358311,0.1808819523442556,0.3226378117746153,1.3245055930714766,0.8347052335739136,0.3581586359595151,1.3942,1.1447224617004395,4.9967730528603475e-05,1.180272102355957,2.0659,222.662,28.075
1551,3.0,0.041304347826086954,0.07228467908902692,0.07228467908902692,0.1266578902944459,0.7794989224137931,0.1949321868479481,0.3222355100668002,0.4579850631161921,1.6351014384673892,0.8666257858276367,0.4519463796482381,0.012370600414078673,0.012370600414078673,0.03745055577752653,0.08686066646518768,0.19815762226480024,0.3372484226635164,1.1265462533177988,0.839313268661499,0.37372806926217417,1.2477,5.932125091552734,4.9915273868498306e-05,1.127620816230774,2.0715,222.061,27.999
2068,4.0,0.04434782608695652,0.08052691511387162,0.08052691511387162,0.12948969237961452,0.7872777478448276,0.20575636665467545,0.33521632058476586,0.46247441902301034,1.7164250790490434,0.8662694692611694,0.45168889834363335,0.0010869565217391304,0.0010869565217391304,0.0385806576607271,0.08485294710331273,0.1893579097209586,0.33346698201773733,1.2325050845699062,0.8370949625968933,0.3664958812397621,1.1687,1.258830189704895,4.9838037508562885e-05,1.0892761945724487,2.0607,223.227,28.146
2585,5.0,0.04521739130434783,0.08159627329192547,0.08159627329192547,0.13390616959418,0.791924838362069,0.20714188850726883,0.3338449421096531,0.46257728858670133,1.7103757947775922,0.8663498759269714,0.4496920029802815,0.003881987577639752,0.003881987577639752,0.037525783865600446,0.0880290687760227,0.20202970792060254,0.3478995071148044,1.246976017589884,0.8389464616775513,0.38256754257675746,1.117,1.2747077941894531,4.9736098264883e-05,1.065570592880249,2.0667,222.575,28.064
3102,6.0,0.049565217391304345,0.08126463391680783,0.08126463391680783,0.13572860237936119,0.7949555495689655,0.21094040213393253,0.33931172593263886,0.46380527554467166,1.69153954668964,0.8668060302734375,0.4602563528686195,0.005434782608695652,0.005434782608695652,0.02616842739524316,0.07074727537588102,0.18355229093423164,0.3288347160556336,1.2349622989786913,0.8363659977912903,0.37155291382223365,1.0822,1.1446499824523926,4.960955752200987e-05,1.0454014539718628,2.0677,222.472,28.051
3619,7.0,0.04739130434782609,0.07261989459815547,0.07261989459815547,0.12857488626383906,0.7979525862068966,0.2067914230377751,0.3359850087557022,0.4623084835761686,1.6400243522470686,0.8671417236328125,0.4689696175971514,0.005797101449275362,0.005797101449275362,0.028470028911045216,0.07382963863898451,0.18617006238525133,0.3287222943156455,1.0946752517071703,0.8354634046554565,0.37836331558292324,1.0494,0.6520418524742126,4.945854113212721e-05,1.027207612991333,2.0667,222.581,28.065
4136,8.0,0.04869565217391304,0.0682025221155656,0.0682025221155656,0.13801712352756454,0.8005792025862069,0.21352747261872257,0.3379459430347981,0.4655675026041883,1.565088875835333,0.8672123551368713,0.4826202322915196,0.006521739130434782,0.006521739130434782,0.0265040019723704,0.07203062475883158,0.18737247247972905,0.3311952919557271,1.3207015853864603,0.8364361524581909,0.37088501016892816,1.0211,1.074640154838562,4.928319928988394e-05,1.0142837762832642,2.0652,222.743,28.085
4653,9.0,0.049130434782608694,0.06299996863040341,0.06299996863040341,0.13145755865950717,0.8033068426724138,0.20671003571347255,0.3330621580664361,0.4607395049122716,1.5866722570179441,0.8659111857414246,0.4783746040067838,0.005217391304347826,0.005217391304347826,0.03235826784977431,0.0796448157284007,0.18823983986362292,0.3319400398538696,1.345766984670977,0.8362792730331421,0.3721352861141381,1.0,0.9407074451446533,4.90837063830167e-05,1.0039143562316895,2.0694,222.29,28.028
