step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,semantic_similarity,rag_rouge1,rag_rougeL,rag_bleu,rag_meteor,rag_chrf,rag_fuzzy,rag_len_ratio,rag_bertscore_f1,rag_semantic_similarity,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,0.0,0.0,0.001729027549717205,0.001729027549717205,0.0011554832876421047,0.03998766447368421,0.007047032624810027,0.04188572308328341,0.15736960667128447,0.36520180787524703,0.7858571410179138,0.15500522914735806,0.0006607022607022608,0.0006607022607022608,0.0014336712334390225,0.007203169192023703,0.043692308972132145,0.17197317436236517,0.3992994842844395,0.7893653512001038,0.16251620646276407,0.0,0.0,0.0,25.00144386291504,6.9571,64.682,8.193
506,1.0,0.0,0.0,0.0,1.7359199388660172e-05,0.32839912280701755,0.0028091102464537806,0.004922820235122883,0.03509774767697948,0.1795200673325493,0.7587724328041077,0.06361408962702586,0.0,0.0,0.0012513413458343865,0.009301096735629195,0.02994769613397002,0.13019464815935786,0.37987831268831357,0.7649838924407959,0.12559031025506556,18.3392,1434.9078369140625,3.999638569107523e-05,5.55765962600708,6.974,64.526,8.173
1012,2.0,0.0,0.0,0.0,3.504692434111487e-05,0.41968201754385964,0.0001180119399344761,0.0056297888351724,0.17057424738950672,0.8310801484973097,0.7385510802268982,0.15160112639019888,0.0,0.0,0.0032803930954702102,0.017714916866562687,0.0775047536892022,0.2275907679222631,0.7626345489373426,0.7604328393936157,0.19163683156131042,5.2004,37.2097053527832,3.997445017726366e-05,3.932417392730713,6.9723,64.542,8.175
1518,3.0,0.0,0.0,0.0,0.0007621964344710479,0.4295504385964912,0.006505717859120108,0.09282269365220296,0.2377953806505288,0.6049160836964109,0.7949363589286804,0.30331409082644517,0.0,0.0,0.0025173364598974988,0.013891427501105754,0.11108392557911596,0.2747309436892601,0.5192021298299564,0.7736773490905762,0.2908366220887336,4.2012,242.77783203125,3.9932645547868636e-05,3.7200565338134766,6.9789,64.48,8.167
2024,4.0,0.0,0.0,0.0,0.0018475660720690815,0.43828810307017546,0.012094387971934316,0.0966992959153431,0.2409532339461775,0.6179228945954423,0.8013772964477539,0.28772801869942083,0.0,0.0,0.0031000275289748006,0.01619960327981238,0.11358087732751866,0.2781635021611797,0.5356297269397741,0.7782239317893982,0.30489454202250477,3.9876,106.1258544921875,3.987101338706426e-05,3.6005473136901855,6.9911,64.368,8.153
2530,5.0,0.0,0.0,0.0,0.0017196880019384837,0.4415433114035088,0.012321623951202001,0.09915689920031932,0.2325557967431022,0.5481326813923317,0.8068907260894775,0.29163793670758603,0.0,0.0,0.0033741021733217085,0.019738688921245688,0.11489257398332209,0.2783358014609675,0.5061769311385647,0.7847198247909546,0.3047589835293798,3.8448,475.23590087890625,3.978961500199619e-05,3.4523909091949463,6.9876,64.399,8.157
3036,6.0,0.0,0.0,0.0,0.0036564858073895334,0.45192571271929827,0.023632725469489486,0.10511184381779658,0.2521948754711804,0.5733928707965509,0.7979345917701721,0.2999844406412707,0.0,0.0,0.0044782558999375876,0.025855996392957353,0.12687548674952978,0.2922417940051001,0.5601697534281179,0.7924444675445557,0.32573274484990783,3.741,181.7076416015625,3.9688531361797834e-05,3.2884600162506104,6.9876,64.4,8.157
3542,7.0,0.0,0.0,0.0,0.004603025241266599,0.4649122807017544,0.025134580010701808,0.11299442047339424,0.27572687038870064,1.35352835260296,0.7686671614646912,0.28058358263224364,0.0,0.0,0.005309226092312902,0.0319403516983892,0.14286359287272943,0.31118926282489384,0.7313305420766115,0.7952585816383362,0.34084890992711814,3.6395,115.25653839111328,3.9567863017048215e-05,3.123958110809326,6.9881,64.395,8.157
4048,8.0,0.0,0.0,0.0,0.0034411667508503522,0.48214775219298245,0.02483238832231568,0.11332586897860278,0.27020006107704503,1.913381899074723,0.7710177898406982,0.29463005307523743,0.002696296296296296,0.002696296296296296,0.005793208174881095,0.035507885000905265,0.1496424045084987,0.31812540607299034,0.7784315045196295,0.7996582984924316,0.3684726832225505,3.5436,47.304832458496094,3.942772999975159e-05,2.970381021499634,6.9903,64.375,8.154
4554,9.0,0.0,0.0,0.0,0.005862827327411576,0.5101425438596491,0.03918383981490917,0.14082018438971208,0.30990600039611976,1.9179807258267008,0.7778310775756836,0.333553097449657,0.005682539682539682,0.005682539682539682,0.006593426848776139,0.04200322499150772,0.1645157121845451,0.32955811152212894,0.8585665369942984,0.8109474778175354,0.3921426986816029,3.3969,66.95160675048828,3.926827170393851e-05,2.643981456756592,7.0204,64.099,8.119
