step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,semantic_similarity,rag_rouge1,rag_rougeL,rag_bleu,rag_meteor,rag_chrf,rag_fuzzy,rag_len_ratio,rag_bertscore_f1,rag_semantic_similarity,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,0.0,0.0,0.018788207754482263,0.01869966744947137,0.007845248271911532,0.16183525219298245,0.04808916766690177,0.2005557453898025,0.33397746872306616,2.311540263527296,0.8245234489440918,0.38875923624055253,0.02330200722416602,0.023244141055661555,0.006806590865178678,0.04896324526964357,0.19493821014001192,0.32642403225157485,2.3039600070049704,0.8241531848907471,0.36300261312226456,0.0,0.0,0.0,12.035261154174805,2.4137,186.436,23.615
506,1.0,0.012888888888888889,0.020518518518518516,0.020518518518518516,0.08516335224357711,0.7643229166666666,0.14744266187433758,0.2722220123788306,0.43291997351787737,1.1693142683529558,0.8625342845916748,0.47343234025769765,0.028689947089947092,0.028689947089947092,0.02641755151082357,0.09100512837771323,0.22907731040492874,0.3788983936050567,1.5139899360404752,0.8488326072692871,0.42079540053486,4.99,1.459627628326416,4.999548211384403e-05,1.2133080959320068,2.2611,199.022,25.209
1012,2.0,0.04488888888888889,0.0646148148148148,0.0646148148148148,0.12493756371134032,0.794202302631579,0.1884577475310102,0.313171739164273,0.4554079653387336,1.4678209235006079,0.8663761019706726,0.46993759171871674,0.05692592592592593,0.05692592592592593,0.08915148364526111,0.15163774352814652,0.27559088744248544,0.41779397198627455,1.556387915518528,0.8571754693984985,0.4369032839660843,1.4292,0.8482140302658081,4.9968062721579564e-05,1.0542290210723877,2.0302,221.648,28.075
1518,3.0,0.04755555555555555,0.06686666666666666,0.06686666666666666,0.12805294575183915,0.8040364583333334,0.19727900843520046,0.3209562981872198,0.4589657178909921,1.4926784309257417,0.8684062361717224,0.45441284125857057,0.05148185394852062,0.05148185394852062,0.0852788447880749,0.1427195476467251,0.26688013398923033,0.41207314036313974,1.5337073539788644,0.8561174273490906,0.4332047634654575,1.2804,1.8936458826065063,4.99158069348358e-05,0.9890424609184265,2.0192,222.858,28.229
2024,4.0,0.05333333333333334,0.08375661375661377,0.08375661375661377,0.13511250129199148,0.8110265899122807,0.21082828874336476,0.3372879863162443,0.4643175303335934,1.5874458360722714,0.8683779835700989,0.45777508333594435,0.05993593073593073,0.05993593073593073,0.08515136557748589,0.14223192481761396,0.26577118463026667,0.41133370026241434,1.5275559218652996,0.855810821056366,0.42890525452999606,1.2019,1.030377984046936,4.983876673383032e-05,0.9562333822250366,2.0147,223.356,28.292
2530,5.0,0.052,0.07386490299823632,0.07386490299823632,0.14831835789243172,0.8159608004385965,0.2233108851529061,0.3460371028776536,0.4733976329718032,1.5206011276822613,0.8706335425376892,0.48267005108441746,0.053403174603174605,0.053403174603174605,0.09014093952787977,0.14726829799360522,0.2692015186154557,0.4136012952494598,1.5089929552476355,0.8563857674598694,0.4408001888208091,1.1497,1.69248628616333,4.973701875249523e-05,0.9275834560394287,2.0178,223.014,28.248
3036,6.0,0.05688888888888889,0.08685236491903159,0.08685236491903159,0.14262552375262272,0.8202782346491229,0.21734886808018045,0.34366713933260434,0.4699142979560054,1.516157108980549,0.8684302568435669,0.47795095004844995,0.05919470899470899,0.05919470899470899,0.08531856876342538,0.1420520060795819,0.26287253924598075,0.40763359403003907,1.5296223683246228,0.8554887175559998,0.42710190963869293,1.1094,1.8110119104385376,4.9610664202247294e-05,0.9110400676727295,2.0165,223.158,28.267
3542,7.0,0.05466666666666667,0.08365236491903158,0.08365236491903158,0.14325137986693157,0.8229166666666666,0.22150888186961482,0.34513884442036424,0.46857838677502683,1.5521943046923887,0.8675684928894043,0.48334301153156495,0.05918624338624339,0.05918624338624339,0.09658780427238496,0.15024528760903702,0.2712593237984593,0.4151955695174054,1.5392967117012502,0.8562828898429871,0.4307314399782982,1.0788,1.1839848756790161,4.945982877131027e-05,0.900936484336853,2.0147,223.357,28.292
4048,8.0,0.05466666666666667,0.0713583774250441,0.0713583774250441,0.13253190388938552,0.825109649122807,0.21095977607423025,0.3357774823859554,0.46212677116396955,1.4527925172458789,0.8665193915367126,0.4865429885474344,0.05985291005291006,0.05985291005291006,0.1075079386394556,0.16002166784720534,0.2799800930503103,0.4215440988047129,1.483161571451941,0.8585995435714722,0.44268767907553247,1.0523,1.0898891687393188,4.928466249968949e-05,0.8899111747741699,2.0196,222.812,28.223
4554,9.0,0.05466666666666667,0.07159980759980761,0.07159980759980761,0.13904332216338577,0.8280564692982456,0.2150556814780055,0.33980555305562443,0.4650475347561101,1.5140717137166226,0.867249071598053,0.4848218091357913,0.06573862433862435,0.06573862433862435,0.10242770155577503,0.15663978403541898,0.2753576685458355,0.41828903669811407,1.514207190544026,0.8577728867530823,0.43122680887372955,1.0279,0.8530669212341309,4.908533962992313e-05,0.8739390969276428,2.0191,222.873,28.231
5060,10.0,0.056,0.0754648709315376,0.0754648709315376,0.14293495807881557,0.8299753289473685,0.21982961742583731,0.34136966936741514,0.47036632588206256,1.4284774535109281,0.8698028326034546,0.4939440566690432,0.0685015873015873,0.0685015873015873,0.09770203251108914,0.15117353113197562,0.2696194448159579,0.41281942956089784,1.482723606052288,0.856904923915863,0.4339695155028668,1.0048,0.7982034087181091,4.886205843375847e-05,0.860986590385437,2.0195,222.825,28.225
5566,11.0,0.06133333333333333,0.0779955747955748,0.0779955747955748,0.14289533000837729,0.8316200657894737,0.2205766267481235,0.341820372084593,0.4679618056528044,1.4683596496574762,0.8681625723838806,0.49277168113138115,0.06375026455026454,0.06375026455026454,0.0958880824140475,0.14972537373321457,0.26817532559165425,0.41038654875419184,1.5610058857802909,0.8561652898788452,0.43280784981242487,0.9881,1.1952390670776367,4.861504101492578e-05,0.8524777889251709,2.0249,222.23,28.149
6072,12.0,0.06,0.07301462241462241,0.07301462241462241,0.1404251463630073,0.8328536184210527,0.21689001586549345,0.3373984336672999,0.46724170005514304,1.4196880620457573,0.8682954907417297,0.493359913898425,0.07940423280423281,0.07940423280423281,0.10850941538365985,0.16005533729803909,0.2770772003949105,0.4203842324588065,1.4237857473407085,0.8593866229057312,0.44234828742800486,0.9718,1.1225045919418335,4.8344533088205784e-05,0.8446504473686218,2.0206,222.704,28.209
6578,13.0,0.058222222222222224,0.07248994708994709,0.07248994708994709,0.13344110838887943,0.8340186403508771,0.21067366920688232,0.3318609975518126,0.46352796957291803,1.3942893931057376,0.8688605427742004,0.49973149065093864,0.07458835978835979,0.07458835978835979,0.10939425449095129,0.16211846951297096,0.27953667513910757,0.4193502189858481,1.504322834597274,0.8587035536766052,0.44191569499112665,0.9544,1.2290939092636108,4.805080373501073e-05,0.8421116471290588,2.0243,222.3,28.158
7084,14.0,0.058222222222222224,0.07294285714285714,0.07294285714285714,0.13559378725517632,0.8349438048245614,0.21304104698083534,0.33351112164924773,0.4646234692833534,1.3788203694473848,0.8687695264816284,0.5013101813186788,0.07574285714285714,0.07574285714285714,0.1086703866788022,0.1589061197696953,0.27510269396421233,0.4171213596640197,1.458661055693803,0.8580008745193481,0.4405249872100022,0.9393,1.338148593902588,4.7734145135721916e-05,0.8312205076217651,2.0207,222.696,28.208
